Date,Time,Ch1:Deg F
09/09/2018,22:41:39,71.210
09/09/2018,22:41:49,71.210
09/09/2018,22:41:59,71.210
09/09/2018,22:42:09,71.250
09/09/2018,22:42:19,71.210
09/09/2018,22:42:29,71.250
09/09/2018,22:42:39,71.250
09/09/2018,22:42:49,71.250
09/09/2018,22:42:59,71.250
09/09/2018,22:43:09,71.290
09/09/2018,22:43:19,71.290
09/09/2018,22:43:29,71.290
09/09/2018,22:43:39,71.250
09/09/2018,22:43:49,71.290
09/09/2018,22:43:59,71.290
09/09/2018,22:44:09,71.290
09/09/2018,22:44:19,71.329
09/09/2018,22:44:29,71.329
09/09/2018,22:44:39,71.329
09/09/2018,22:44:49,71.290
09/09/2018,22:44:59,71.290
09/09/2018,22:45:09,71.329
09/09/2018,22:45:19,71.329
09/09/2018,22:45:29,71.329
09/09/2018,22:45:39,71.329
09/09/2018,22:45:49,71.290
09/09/2018,22:45:59,71.290
09/09/2018,22:46:09,71.290
09/09/2018,22:46:19,71.329
09/09/2018,22:46:29,71.290
09/09/2018,22:46:39,71.290
09/09/2018,22:46:49,71.290
09/09/2018,22:46:59,71.290
09/09/2018,22:47:09,71.290
09/09/2018,22:47:19,71.290
09/09/2018,22:47:29,71.290
09/09/2018,22:47:39,71.290
09/09/2018,22:47:49,71.329
09/09/2018,22:47:59,71.329
09/09/2018,22:48:09,71.329
09/09/2018,22:48:19,71.329
09/09/2018,22:48:29,71.329
09/09/2018,22:48:39,71.329
09/09/2018,22:48:49,71.329
09/09/2018,22:48:59,71.290
09/09/2018,22:49:09,71.290
09/09/2018,22:49:19,71.329
09/09/2018,22:49:29,71.290
09/09/2018,22:49:39,71.290
09/09/2018,22:49:49,71.290
09/09/2018,22:49:59,71.290
09/09/2018,22:50:09,71.250
09/09/2018,22:50:19,71.290
09/09/2018,22:50:29,71.290
09/09/2018,22:50:39,71.329
09/09/2018,22:50:49,71.329
09/09/2018,22:50:59,71.329
09/09/2018,22:51:09,71.329
09/09/2018,22:51:19,71.329
09/09/2018,22:51:29,71.329
09/09/2018,22:51:39,71.329
09/09/2018,22:51:49,71.290
09/09/2018,22:51:59,71.290
09/09/2018,22:52:09,71.290
09/09/2018,22:52:19,71.250
09/09/2018,22:52:29,71.250
09/09/2018,22:52:39,71.290
09/09/2018,22:52:49,71.290
09/09/2018,22:52:59,71.290
09/09/2018,22:53:09,71.250
09/09/2018,22:53:19,71.250
09/09/2018,22:53:29,71.250
09/09/2018,22:53:39,71.210
09/09/2018,22:53:49,71.210
09/09/2018,22:53:59,71.210
09/09/2018,22:54:09,71.210
09/09/2018,22:54:19,71.210
09/09/2018,22:54:29,71.210
09/09/2018,22:54:39,71.250
09/09/2018,22:54:49,71.250
09/09/2018,22:54:59,71.250
09/09/2018,22:55:09,71.250
09/09/2018,22:55:19,71.250
09/09/2018,22:55:29,71.290
09/09/2018,22:55:39,71.329
09/09/2018,22:55:49,71.329
09/09/2018,22:55:59,71.329
09/09/2018,22:56:09,71.329
09/09/2018,22:56:19,71.290
09/09/2018,22:56:29,71.290
09/09/2018,22:56:39,71.329
09/09/2018,22:56:49,71.290
09/09/2018,22:56:59,71.290
09/09/2018,22:57:09,71.329
09/09/2018,22:57:19,71.329
09/09/2018,22:57:29,71.290
09/09/2018,22:57:39,71.290
09/09/2018,22:57:49,71.290
09/09/2018,22:57:59,71.290
09/09/2018,22:58:09,71.250
09/09/2018,22:58:19,71.250
09/09/2018,22:58:29,71.250
09/09/2018,22:58:39,71.250
09/09/2018,22:58:49,71.250
09/09/2018,22:58:59,71.210
09/09/2018,22:59:09,71.250
